"ymod" "prat" "cote" "tcon" "icat" "plos" "stress"
"1" 0.840957424910739 0.834964473890141 0.0773397536017001 0.669847396630794 0.968871248438954 0.463791690608487 6.671
"2" 0.466235996643081 0.971041886601597 0.287345428038388 0.424697249736637 0.561091948105022 0.0835670511517674 6.3427
"3" 0.672538283336908 0.870732606183737 0.371916175149381 0.503743131477386 0.404114976078272 0.81946953414008 7.3593
"4" 0.995753647098318 0.385656588412821 0.681478688353673 0.846705727847293 0.444167327601463 0.0027033859025687 16.138
"5" 0.513514165552333 0.403736372729763 0.211745593640953 0.347632502047345 0.908112600315362 0.879477198449895 7.9776
"6" 0.70693861736916 0.444756505768746 0.029881609287113 0.966096771946177 0.493423854541033 0.718512459117919 6.3665
"7" 0.199764025304466 0.00428233336657286 0.432967698294669 0.751230427930132 0.557711092969403 0.142122232755646 10.952
"8" 0.799324651965871 0.512501238277182 0.899585105590522 0.379003165224567 0.117826554821804 0.570355430673808 14.613
"9" 0.082739379433915 0.290202873479575 0.195774664022028 0.254307338185608 0.125746531495824 0.193516401089728 6.9919
"10" 0.0420195988100022 0.56924015076831 0.571828803848475 0.614995520655066 0.936457674335688 0.0629326312057674 10.643
"11" 0.142209216374904 0.357249316368252 0.977516660913825 0.477971910862252 0.381895306576043 0.248751957127824 13.878
"12" 0.375363009823486 0.702223692834377 0.785653613796458 0.938788510132581 0.0717016146611422 0.749674903536215 10.542
"13" 0.598097866522148 0.79662078242749 0.756680944589898 0.824397815782577 0.860844823718071 0.481516158860177 12.713
"14" 0.724983128421009 0.145917579708621 0.334975341260433 0.569996000863612 0.199265211662278 0.381693395404145 10.362
"15" 0.831285535544157 0.221111240796745 0.813721338352189 0.529220529543236 0.803330562366173 0.881008304469287 16.953
"16" 0.310820791004226 0.188544800374657 0.481480024270713 0.176878098789603 0.248626840645447 0.794519969755784 9.5205
"17" 0.941167225679383 0.645824015550315 0.639849991695955 0.210466873981059 0.785613014791161 0.433582861237228 13.745
"18" 0.270200393171981 0.94850982976146 0.651000224668533 0.017161412332207 0.235126037020236 0.52751509427093 7.2836
"19" 0.320270960936323 0.639876197790727 0.875097378818318 0.308472607405856 0.619104047426954 0.942924382910132 11.967
"20" 0.02155990161933 0.897667130790651 0.441430608732626 0.68361553279683 0.700559434210882 0.667653703698888 6.5534
"21" 0.623608073312789 0.110315877934918 0.953867503618822 0.0700844215881079 0.662951524825767 0.308026000456884 18.31
"22" 0.237509474018589 0.520050416700542 0.128132437523454 0.783936655204743 0.00470968593843281 0.600853544650599 5.6536
